draw_date,draw_number,numbers,bonus_number,1等口数,1等賞金,2等口数,2等賞金,3等口数,3等賞金,4等口数,4等賞金
1999/4/13,1,"[1,3,17,20,25]",26,29,6090500,46,275800,2331,9400,59593,900
1999/4/27,2,"[2,11,12,21,30]",28,11,16868900,35,380800,1672,13800,50969,1100
1999/5/11,3,"[1,8,10,24,30]",28,17,11481000,34,412400,2014,12000,58581,1000
1999/5/25,4,"[11,12,14,20,31]",29,5,38866300,35,398800,1055,22900,43664,1400
1999/6/8,5,"[8,9,15,21,25]",23,18,11107000,54,265900,2029,12200,61713,1000
1999/6/22,6,"[2,11,16,24,29]",4,70,3181000,239,66900,4162,6600,80366,900
1999/7/6,7,"[3,24,25,26,31]",2,3,40000000,57,2381300,1289,23000,61193,1200
1999/7/20,8,"[22,24,25,28,30]",21,16,13732500,77,205000,1677,16300,42022,1700
1999/8/3,9,"[2,11,12,13,28]",15,27,7304600,93,152300,2856,8500,72169,800
1999/8/17,10,"[8,19,21,23,30]",5,15,13787900,121,122700,2004,12800,61949,1000
1999/8/31,11,"[17,18,19,20,30]",31,39,6090900,216,79000,3872,7600,60056,1200
1999/9/14,12,"[5,9,13,16,19]",21,25,9913700,111,160400,2845,10800,81806,900
1999/9/28,13,"[6,11,18,25,28]",20,31,7272900,107,151300,2956,9400,77460,900
1999/10/5,14,"[2,21,24,26,29]",28,8,38358600,105,209900,2533,15000,84846,1100
1999/10/12,15,"[6,8,17,23,24]",22,22,15686200,101,245400,3053,14000,97823,1100
1999/10/19,16,"[2,20,24,26,27]",23,12,31351600,95,284500,3047,15300,102614,1100
1999/10/26,17,"[10,18,20,25,27]",1,13,30661600,102,280700,3208,15400,106936,1200
1999/11/2,18,"[1,14,16,23,25]",27,33,12129100,174,165200,3684,13500,108958,1100
1999/11/9,19,"[2,9,10,22,27]",1,27,13931700,93,290500,4040,11500,110687,1100
1999/11/16,20,"[14,20,22,25,30]",15,12,30271600,62,420900,3178,14200,108390,1000
1999/11/23,21,"[3,15,22,25,31]",6,28,12298200,148,167100,4075,10500,112640,900
1999/11/30,22,"[4,6,26,28,30]",14,15,24195100,126,206900,3397,13300,114601,1000
1999/12/7,23,"[2,13,18,22,26]",15,64,5557600,245,104200,5588,7900,125031,900
1999/12/14,24,"[12,14,19,26,28]",15,42,8360500,168,150100,5561,7800,129060,800
1999/12/21,25,"[2,3,7,18,29]",15,23,14986500,205,120700,3528,12100,107304,1000
1999/12/28,26,"[7,8,9,14,15]",4,29,11475400,105,227600,2650,15600,81092,1300
2000/1/4,27,"[10,16,20,21,31]",14,11,19359100,51,299900,1939,13600,52650,1300
2000/1/11,28,"[2,9,15,22,29]",11,169,1808600,246,89200,5731,6600,115723,800
2000/1/18,29,"[9,12,17,26,31]",15,35,9199800,115,201100,3393,11800,89208,1100
2000/1/25,30,"[10,15,17,18,30]",16,14,23589600,153,155000,2792,14700,95188,1100
2000/2/1,31,"[14,20,21,24,28]",17,48,7450400,143,179600,5426,8200,125934,900
2000/2/8,32,"[2,11,13,16,24]",20,58,6182900,203,126900,7887,5600,149489,700
2000/2/15,33,"[2,3,8,9,30]",23,40,8494000,154,158500,4541,9300,122287,900
2000/2/22,34,"[4,9,18,28,29]",12,21,16278000,156,157400,3387,12500,103477,1000
2000/2/29,35,"[10,11,18,24,26]",29,36,9526000,152,162000,4668,9100,121945,900
2000/3/7,36,"[4,8,15,16,21]",25,21,16559300,149,167600,3640,11800,107295,1000
2000/3/14,37,"[6,7,10,16,31]",20,22,15298000,76,318100,2400,17400,81544,1300
