draw_date,draw_number,numbers,bonus_number
1999/4/13,1,"[1,3,17,20,25]",26
1999/4/27,2,"[2,11,12,21,30]",28
1999/5/11,3,"[1,8,10,24,30]",28
1999/5/25,4,"[11,12,14,20,31]",29
1999/6/8,5,"[8,9,15,21,25]",23
1999/6/22,6,"[2,11,16,24,29]",4
1999/7/6,7,"[3,24,25,26,31]",2
1999/7/20,8,"[22,24,25,28,30]",21
1999/8/3,9,"[2,11,12,13,28]",15
1999/8/17,10,"[8,19,21,23,30]",5
1999/8/31,11,"[17,18,19,20,30]",31
1999/9/14,12,"[5,9,13,16,19]",21
1999/9/28,13,"[6,11,18,25,28]",20
1999/10/5,14,"[2,21,24,26,29]",28
1999/10/12,15,"[6,8,17,23,24]",22
1999/10/19,16,"[2,20,24,26,27]",23
1999/10/26,17,"[10,18,20,25,27]",1
1999/11/2,18,"[1,14,16,23,25]",27
1999/11/9,19,"[2,9,10,22,27]",1
1999/11/16,20,"[14,20,22,25,30]",15
1999/11/23,21,"[3,15,22,25,31]",6
1999/11/30,22,"[4,6,26,28,30]",14
1999/12/7,23,"[2,13,18,22,26]",15
1999/12/14,24,"[12,14,19,26,28]",15
1999/12/21,25,"[2,3,7,18,29]",15
1999/12/28,26,"[7,8,9,14,15]",4
2000/1/4,27,"[10,16,20,21,31]",14
2000/1/11,28,"[2,9,15,22,29]",11
2000/1/18,29,"[9,12,17,26,31]",15
2000/1/25,30,"[10,15,17,18,30]",16
2000/2/1,31,"[14,20,21,24,28]",17
2000/2/8,32,"[2,11,13,16,24]",20
2000/2/15,33,"[2,3,8,9,30]",23
2000/2/22,34,"[4,9,18,28,29]",12
2000/2/29,35,"[10,11,18,24,26]",29
2000/3/7,36,"[4,8,15,16,21]",25
2000/3/14,37,"[6,7,10,16,31]",20
2000/3/21,38,"[11,16,17,19,31]",4
2000/3/28,39,"[1,9,15,26,30]",11
2000/4/4,40,"[4,16,24,25,27]",5
2000/4/11,41,"[10,16,19,22,26]",29
