draw_date,draw_number,winning_number,ストレート口数,ストレート賞金,ボックス口数,ボックス賞金,セット(ストレート)口数,セット(ストレート)賞金,セット(ボックス)口数,セット(ボックス)賞金,ミニ口数,ミニ賞金
1994/10/7,1,191,0,119800,0,39900,0,79800,0,19900,0,11900
1994/10/14,2,988,0,333500,0,111100,0,222300,0,55500,0,33300
1994/10/21,3,194,0,71700,0,11900,0,41800,0,5900,0,7100
1994/10/28,4,105,0,57200,0,9500,0,33300,0,4700,0,5700
1994/11/4,5,592,0,113400,0,18900,0,66100,0,9400,0,11300
1994/11/11,6,792,0,102600,0,17100,0,59800,0,8500,0,10200
1994/11/18,7,708,0,149100,0,24800,0,86900,0,12400,0,14900
1994/11/25,8,234,0,58200,0,9700,0,33900,0,4800,0,5800
1994/12/2,9,243,0,83600,0,13900,0,48700,0,6900,0,8300
1994/12/9,10,340,0,154600,0,25700,0,90100,0,12800,0,15400
1994/12/16,11,326,0,47500,0,7900,0,27700,0,3900,0,4700
1994/12/23,12,247,0,45800,0,7600,0,26700,0,3800,0,4500
1994/12/30,13,229,0,112700,0,37500,0,75100,0,18700,0,11200
1995/1/6,14,743,0,91400,0,15200,0,53300,0,7600,0,9100
1995/1/10,15,019,0,62000,0,10300,0,36100,0,5100,0,6200
1995/1/13,16,179,0,78900,0,13100,0,46000,0,6500,0,7800
1995/1/17,17,475,0,110900,0,18400,0,64600,0,9200,0,11000
1995/1/20,18,291,0,63400,0,10500,0,36900,0,5200,0,6300
1995/1/24,19,852,0,49300,0,8200,0,28700,0,4100,0,4900
1995/1/27,20,502,0,78800,0,13100,0,45900,0,6500,0,7800
1995/1/31,21,558,0,250100,0,83300,0,166700,0,41600,0,25000
1995/2/3,22,951,0,88000,0,14600,0,51300,0,7300,0,8800
1995/2/7,23,912,0,61900,0,10300,0,36100,0,5100,0,6100
1995/2/10,24,039,0,97600,0,16200,0,56900,0,8100,0,9700
1995/2/14,25,458,0,110700,0,18400,0,64500,0,9200,0,11000
1995/2/17,26,984,0,190100,0,31600,0,110800,0,15800,0,19000
1995/2/21,27,917,0,69500,0,11500,0,40500,0,5700,0,6900
1995/2/24,28,789,0,90300,0,15000,0,52600,0,7500,0,9000
1995/2/28,29,589,0,91500,0,15200,0,53300,0,7600,0,9100
1995/3/3,30,725,0,48300,0,8000,0,28100,0,4000,0,4800
1995/3/7,31,073,0,94600,0,15700,0,55100,0,7800,0,9400
1995/3/10,32,547,0,96000,0,16000,0,56000,0,8000,0,9600
1995/3/14,33,063,0,98700,0,16400,0,57500,0,8200,0,9800
1995/3/17,34,634,0,84500,0,14000,0,49200,0,7000,0,8400
1995/3/21,35,333,0,65500,0,0,0,0,0,0,0,6500
1995/3/24,36,405,0,97600,0,16200,0,56900,0,8100,0,9700
1995/3/28,37,168,0,86400,0,14400,0,50400,0,7200,0,8600
1995/3/31,38,389,0,103700,0,17200,0,60400,0,8600,0,10300
1995/4/4,39,587,0,116100,0,19300,0,67700,0,9600,0,11600
1995/4/7,40,304,0,102400,0,17000,0,59700,0,8500,0,10200
1995/4/11,41,048,0,82800,0,13800,0,48300,0,6900,0,8200
1995/4/14,42,228,0,69700,0,23200,0,46400,0,11600,0,6900
1995/4/18,43,922,0,111600,0,37200,0,74400,0,18600,0,11100
1995/4/21,44,697,0,199500,0,33200,0,116300,0,16600,0,19900
1995/4/25,45,970,0,186600,0,31100,0,108800,0,15500,0,18600
1995/4/28,46,298,0,73700,0,12200,0,42900,0,6100,0,7300
1995/5/2,47,989,0,110400,0,36800,0,73600,0,18400,0,11000
1995/5/5,48,202,0,137400,0,45800,0,91600,0,22900,0,13700
1995/5/9,49,476,0,118400,0,19700,0,69000,0,9800,0,11800
1995/5/12,50,042,0,95800,0,15900,0,55800,0,7900,0,9500
1995/5/16,51,802,0,86500,0,14400,0,50400,0,7200,0,8600
1995/5/19,52,717,0,106600,0,35500,0,71000,0,17700,0,10600
1995/5/23,53,889,0,120000,0,40000,0,80000,0,20000,0,12000
1995/5/26,54,226,0,61000,0,20300,0,40600,0,10100,0,6100
1995/5/30,55,728,0,66500,0,11000,0,38700,0,5500,0,6600
1995/6/2,56,929,0,70900,0,23600,0,47200,0,11800,0,7000
1995/6/6,57,836,0,105600,0,17600,0,61600,0,8800,0,10500
1995/6/9,58,383,0,131200,0,43700,0,87400,0,21800,0,13100
1995/6/13,59,410,0,81000,0,13500,0,47200,0,6700,0,8100
1995/6/16,60,980,0,109600,0,18200,0,63900,0,9100,0,10900
1995/6/20,61,542,0,99700,0,16600,0,58100,0,8300,0,9900
1995/6/23,62,725,0,57300,0,9500,0,33400,0,4700,0,5700
1995/6/27,63,251,0,68800,0,11400,0,40100,0,5700,0,6800
1995/6/30,64,260,0,122700,0,20400,0,71500,0,10200,0,12200
