draw_date,draw_number,winning_number,ストレート口数,ストレート賞金,ボックス口数,ボックス賞金,セット(ストレート)口数,セット(ストレート)賞金,セット(ボックス)口数,セット(ボックス)賞金
1994/10/7,1,1149,0,942600,0,78500,0,510500,0,39200
1994/10/14,2,7921,0,923700,0,38400,0,481000,0,19200
1994/10/21,3,0097,0,1516600,0,126300,0,821400,0,63100
1994/10/28,4,0171,0,579400,0,48200,0,313800,0,24100
1994/11/4,5,0265,0,1222900,0,50900,0,636900,0,25400
1994/11/11,6,5482,0,1300500,0,54100,0,677300,0,27000
1994/11/18,7,3950,0,1041700,0,43400,0,542500,0,21700
1994/11/25,8,7507,0,2717700,0,226400,0,1472000,0,113200
1994/12/2,9,2664,0,2293800,0,191100,0,1242400,0,95500
1994/12/9,10,2436,0,423300,0,17600,0,220400,0,8800
1994/12/16,11,0254,0,692400,0,28800,0,360600,0,14400
1994/12/23,12,9722,0,1622600,0,135200,0,878900,0,67600
1994/12/30,13,4673,0,752100,0,31300,0,391700,0,15600
1995/1/6,14,1409,0,827700,0,34400,0,431000,0,17200
1995/1/10,15,6419,0,759900,0,31600,0,395700,0,15800
1995/1/13,16,0524,0,360800,0,15000,0,187900,0,7500
1995/1/17,17,8697,0,1538000,0,64000,0,801000,0,32000
1995/1/20,18,3062,0,709000,0,29500,0,369200,0,14700
1995/1/24,19,1013,0,156600,0,13000,0,84800,0,6500
1995/1/27,20,2264,0,1053700,0,87800,0,570700,0,43900
1995/1/31,21,3825,0,424200,0,17600,0,220900,0,8800
1995/2/3,22,7059,0,1260900,0,52500,0,656700,0,26200
1995/2/7,23,0283,0,949400,0,39500,0,494400,0,19700
1995/2/10,24,2321,0,481200,0,40100,0,260600,0,20000
1995/2/14,25,4556,0,1319900,0,109900,0,714900,0,54900
1995/2/17,26,3360,0,1261900,0,105100,0,683500,0,52500
1995/2/21,27,4908,0,1295000,0,53900,0,674400,0,26900
1995/2/24,28,3466,0,1413500,0,117700,0,765600,0,58800
1995/2/28,29,2061,0,655000,0,27200,0,341100,0,13600
1995/3/3,30,7566,0,1728100,0,144000,0,936000,0,72000
1995/3/7,31,4830,0,1117500,0,46500,0,582000,0,23200
1995/3/10,32,4575,0,1243300,0,103600,0,673400,0,51800
1995/3/14,33,5819,0,1106800,0,46100,0,576400,0,23000
1995/3/17,34,7521,0,564000,0,23500,0,293700,0,11700
1995/3/21,35,4703,0,857600,0,35700,0,446600,0,17800
1995/3/24,36,9776,0,2282600,0,190200,0,1236400,0,95100
1995/3/28,37,6941,0,955900,0,39800,0,497800,0,19900
1995/3/31,38,8634,0,744200,0,31000,0,387600,0,15500
1995/4/4,39,5560,0,2027100,0,168900,0,1098000,0,84400
1995/4/7,40,5584,0,1618000,0,134800,0,876400,0,67400
1995/4/11,41,0228,0,424500,0,35300,0,229900,0,17600
1995/4/14,42,9875,0,1627900,0,67800,0,847800,0,33900
1995/4/18,43,5031,0,725500,0,30200,0,377800,0,15100
1995/4/21,44,4742,0,1269600,0,105800,0,687700,0,52900
1995/4/25,45,5543,0,861400,0,71700,0,466500,0,35800
1995/4/28,46,9476,0,1390900,0,57900,0,724400,0,28900
1995/5/2,47,9125,0,849200,0,35300,0,442200,0,17600
1995/5/5,48,5074,0,902500,0,37600,0,470000,0,18800
1995/5/9,49,6910,0,1118800,0,46600,0,582700,0,23300
1995/5/12,50,0021,0,795700,0,66300,0,431000,0,33100
1995/5/16,51,7598,0,1253800,0,52200,0,653000,0,26100
1995/5/19,52,5053,0,1179500,0,98200,0,638800,0,49100
1995/5/23,53,9040,0,1743200,0,145200,0,944200,0,72600
1995/5/26,54,3895,0,928500,0,38600,0,483500,0,19300
1995/5/30,55,6780,0,1536200,0,64000,0,800100,0,32000
1995/6/2,56,9981,0,617300,0,51400,0,334300,0,25700
1995/6/6,57,1398,0,1091800,0,45400,0,568600,0,22700
1995/6/9,58,3042,0,948100,0,39500,0,493800,0,19700
1995/6/13,59,8885,0,1034100,0,258500,0,646300,0,129200
1995/6/16,60,6373,0,1656600,0,138000,0,897300,0,69000
1995/6/20,61,7882,0,1741500,0,145100,0,943300,0,72500
1995/6/23,62,5608,0,1007900,0,41900,0,524900,0,20900
1995/6/27,63,9123,0,915300,0,38100,0,476700,0,19000
1995/6/30,64,8844,0,1398000,0,233000,0,815500,0,116500
1995/7/4,65,9819,0,1377700,0,114800,0,746200,0,57400
1995/7/7,66,2098,0,719200,0,29900,0,374500,0,14900
1995/7/11,67,4881,0,1236500,0,103000,0,669700,0,51500
1995/7/14,68,4214,0,1033800,0,86100,0,559900,0,43000
1995/7/18,69,2792,0,1255800,0,104600,0,680200,0,52300
1995/7/21,70,5094,0,1108200,0,46100,0,577100,0,23000
1995/7/25,71,0948,0,947000,0,39400,0,493200,0,19700
1995/7/28,72,0084,0,1043300,0,86900,0,565100,0,43400
1995/8/1,73,2341,0,648500,0,27000,0,337700,0,13500
1995/8/4,74,3011,0,463200,0,38600,0,250900,0,19300
1995/8/8,75,2332,0,661800,0,110300,0,386000,0,55100
1995/8/11,76,5531,0,607700,0,50600,0,329100,0,25300
1995/8/15,77,6406,0,1996400,0,166300,0,1081300,0,83100
1995/8/18,78,6536,0,1446800,0,120500,0,783600,0,60200
1995/8/22,79,1742,0,972200,0,40500,0,506300,0,20200
1995/8/25,80,0437,0,1282400,0,53400,0,667900,0,26700
1995/8/29,81,3503,0,989600,0,82400,0,536000,0,41200
1995/9/1,82,1770,0,1365900,0,113800,0,739800,0,56900
1995/9/5,83,9047,0,952900,0,39700,0,496300,0,19800
1995/9/8,84,6580,0,1260600,0,52500,0,656500,0,26200
1995/9/12,85,2624,0,852000,0,71000,0,461500,0,35500
1995/9/15,86,0684,0,1278100,0,53200,0,665600,0,26600
1995/9/19,87,7676,0,1809400,0,301500,0,1055400,0,150700
1995/9/22,88,2562,0,898300,0,74800,0,486500,0,37400
1995/9/26,89,1614,0,926000,0,77000,0,500500,0,38500
1995/9/29,90,7696,0,1485800,0,123800,0,804800,0,61900
1995/10/3,91,0330,0,621400,0,103500,0,362400,0,51700
1995/10/6,92,8721,0,1258400,0,52400,0,655400,0,26200
1995/10/10,93,9056,0,1092500,0,45500,0,569000,0,22700
1995/10/13,94,8526,0,950100,0,39500,0,494800,0,19700
1995/10/17,95,6282,0,892400,0,74300,0,483300,0,37100
1995/10/20,96,6992,0,1518300,0,126500,0,822400,0,63200
1995/10/24,97,2866,0,792600,0,66000,0,429300,0,33000
1995/10/27,98,4943,0,1551800,0,129300,0,840500,0,64600
1995/10/31,99,2072,0,996000,0,83000,0,539500,0,41500
1995/11/3,100,5614,0,944100,0,39300,0,491700,0,19600
1995/11/7,101,1471,0,601900,0,50100,0,326000,0,25000
1995/11/10,102,4036,0,1179500,0,49100,0,614300,0,24500
1995/11/14,103,8050,0,1606000,0,133800,0,869900,0,66900
1995/11/17,104,2958,0,1034600,0,43100,0,538800,0,21500
1995/11/21,105,6204,0,568700,0,23600,0,296100,0,11800
1995/11/24,106,9063,0,870400,0,36200,0,453300,0,18100
1995/11/28,107,0539,0,1152700,0,48000,0,600300,0,24000
1995/12/1,108,9852,0,963700,0,41000,0,501900,0,20000
1995/12/5,109,3593,0,1075100,0,89500,0,582300,0,44700
1995/12/8,110,1697,0,1416100,0,59000,0,737500,0,29500
1995/12/12,111,8011,0,877600,0,73100,0,475300,0,36500
1995/12/15,112,4191,0,734000,0,61100,0,397500,0,30500
1995/12/19,113,9163,0,778000,0,32400,0,405200,0,16200
1995/12/22,114,3943,0,1009300,0,84100,0,546700,0,42000
1995/12/26,115,4101,0,658200,0,54800,0,356500,0,27400
1995/12/29,116,7410,0,560300,0,23300,0,291800,0,11600
1996/1/5,117,2689,0,834700,0,34700,0,434700,0,17300
1996/1/9,118,7435,0,1255100,0,52200,0,653600,0,26100
1996/1/12,119,3010,0,795500,0,66200,0,430800,0,33100
1996/1/16,120,3583,0,841100,0,70000,0,455500,0,35000
1996/1/19,121,2645,0,714600,0,29700,0,372100,0,14800
1996/1/23,122,8578,0,1711800,0,142600,0,927200,0,71300
1996/1/26,123,1165,0,1223100,0,101900,0,662500,0,50900
1996/1/30,124,0942,0,987400,0,41100,0,514200,0,20500
1996/2/2,125,5762,0,1002300,0,41700,0,522000,0,20800
1996/2/6,126,6577,0,1357500,0,113100,0,735300,0,56500
1996/2/9,127,9054,0,711100,0,29600,0,370300,0,14800
1996/2/13,128,3315,0,826200,0,68800,0,447500,0,34400
1996/2/16,129,9846,0,1153000,0,48000,0,600500,0,24000
1996/2/20,130,4092,0,700900,0,29200,0,365000,0,14600
1996/2/23,131,8831,0,1018300,0,84800,0,551500,0,42400
1996/2/27,132,5566,0,690100,0,115000,0,402500,0,57500
1996/3/1,133,5660,0,1279100,0,106500,0,692800,0,53200
1996/3/5,134,6890,0,1094200,0,45500,0,569800,0,22700
1996/3/8,135,3409,0,893100,0,37200,0,465100,0,18600
1996/3/12,136,4023,0,777100,0,32300,0,404700,0,16100
1996/3/15,137,9017,0,872300,0,36300,0,454300,0,18100
1996/3/19,138,4073,0,719800,0,29900,0,374800,0,14900
1996/3/22,139,7871,0,1453200,0,121100,0,787100,0,60500
1996/3/26,140,1099,0,1047400,0,87200,0,567300,0,43600
1996/3/29,141,2139,0,893400,0,37200,0,465300,0,18600
1996/4/2,142,2516,0,705800,0,29400,0,367600,0,14700
1996/4/5,143,3752,0,667200,0,27800,0,347500,0,13900
1996/4/9,144,4681,0,709200,0,29500,0,369300,0,14700
1996/4/12,145,8567,0,1062000,0,44200,0,553100,0,22100
1996/4/16,146,2115,0,741500,0,61700,0,401600,0,30800
1996/4/19,147,2209,0,839000,0,69900,0,454400,0,34900
1996/4/23,148,6901,0,820500,0,34100,0,427300,0,17000
1996/4/26,149,7707,0,2075300,0,518800,0,1297000,0,259400
1996/4/30,150,5825,0,916400,0,76300,0,496300,0,38100
1996/5/3,151,3056,0,648700,0,27000,0,337800,0,13500
1996/5/7,152,0225,0,509400,0,42400,0,275900,0,21200
1996/5/10,153,5468,0,1097500,0,45700,0,571600,0,22800
1996/5/14,154,1470,0,676400,0,28100,0,352200,0,14000
1996/5/17,155,0171,0,844600,0,70300,0,457400,0,35100
1996/5/21,156,8957,0,1350700,0,56200,0,703400,0,28100
1996/5/24,157,9254,0,1127500,0,46900,0,587200,0,23400
1996/5/28,158,2579,0,578600,0,24100,0,301300,0,12000
1996/5/31,159,4034,0,825700,0,68800,0,447200,0,34400
